"Year","Region Name","Pounds","Dollars","Collection","Metric Tons"
"2009","Gulf","3,860,527","","Recreational","1,751"
"2009","New England","76,449","129,987","Commercial","35"
"2009","South Atlantic","1,006,948","1,724,115","Commercial","457"
"2009","South Atlantic","13,251,102","","Recreational","6,011"
"2009","Middle Atlantic","49,946","103,496","Commercial","23"
"2009","Middle Atlantic","1,538,112","","Recreational","698"
"2010","Gulf","112,802","187,331","Commercial","51"
"2010","Gulf","1,216,198","","Recreational","552"
"2010","New England","12,910","33,180","Commercial","6"
"2010","South Atlantic","571,983","1,187,136","Commercial","259"
"2010","South Atlantic","8,543,542","","Recreational","3,875"
"2010","Middle Atlantic","34,578","75,563","Commercial","16"
"2010","Middle Atlantic","813,738","","Recreational","369"
"2011","Gulf","312,567","636,725","Commercial","142"
"2011","Gulf","3,023,914","","Recreational","1,372"
"2011","New England","22,816","66,709","Commercial","10"
"2011","New England","187,289","","Recreational","85"
"2011","South Atlantic","544,333","1,415,834","Commercial","247"
"2011","South Atlantic","10,774,812","","Recreational","4,887"
"2011","Middle Atlantic","14,322","41,069","Commercial","6"
"2011","Middle Atlantic","2,173,136","","Recreational","986"
"2012","Gulf","148,474","303,009","Commercial","67"
"2012","Gulf","3,229,090","","Recreational","1,465"
"2012","New England","43,955","120,234","Commercial","20"
"2012","New England","26,892","","Recreational","12"
"2012","South Atlantic","704,483","2,054,797","Commercial","320"
"2012","South Atlantic","9,983,276","","Recreational","4,528"
"2012","Middle Atlantic","42,421","118,283","Commercial","19"
"2012","Middle Atlantic","755,558","","Recreational","343"
"2013","Gulf","191,201","403,215","Commercial","87"
"2013","Gulf","5,425,636","","Recreational","2,461"
"2013","New England","16,657","49,189","Commercial","8"
"2013","New England","226,988","","Recreational","103"
"2013","South Atlantic","584,102","1,606,327","Commercial","265"
"2013","South Atlantic","8,483,569","","Recreational","3,848"
"2013","Middle Atlantic","39,214","112,919","Commercial","18"
"2013","Middle Atlantic","302,421","","Recreational","137"
"2014","Gulf","207,261","401,668","Commercial","94"
"2014","Gulf","3,074,373","","Recreational","1,395"
"2014","New England","51,810","123,682","Commercial","24"
