"year","season","Hire_FLK","Hire_NCFL","Hire_NNC","Hire_VBM","Rec_FLK","Rec_NCFL","Rec_NNC","Rec_VBM","yrseas"
2014,"JJA",478345.08543304,109263.31480322,486581.5942907,45158.0752247636,3609215.69033055,635500.597797,1110407.04407,1746050.932283,2014.375
2014,"MAM",306355.51923414,80586.647165571,342121.2981634,3636.35209539782,4087637.83493555,527925.492789,158861.836275,145319.598015,2014.625
2014,"SON",79515.32876415,15029.8025864733,87613.43963096,7943.51982237905,1674867.362149,106376.4793096,20435.535155,148959.019381,2014.875
2015,"DJF",112696.21839721,4176.97372849915,379.62632005,22.8106082147779,251340.8530908,2674.7032479,0,0,2015.125
2015,"JJA",672219.1800744,79247.5763003305,887362.4667867,154428.228578163,6725790.192795,806117.9302575,2063566.09553,2279425.0737435,2015.375
2015,"MAM",733489.8479918,76487.1760796395,323703.8620899,7493.78254008763,3086404.455285,541710.6119145,1061391.16588,268250.8302115,2015.625
2015,"SON",169406.1013045,36125.8665184589,153765.5967123,115932.584150086,1961056.6891065,200599.935287,380237.48129,2098120.3451814,2015.875
2016,"DJF",134436.5028555,3698.49697924095,10076.9812658,13.3904424512092,491945.9999855,35519.39536,0,0,2016.125
2016,"JJA",241787.28200716,155027.330025717,654843.6921622,165976.240173398,2370240.379099,1880963.7924757,1047769.073592,1667757.9931556,2016.375
2016,"MAM",503340.71029306,287223.328512401,308663.788258,15055.5332136001,1718749.7260808,2411574.0650663,600500.287399,273068.6371472,2016.625
2016,"SON",17433.53511544,8996.6489934785,271979.7140424,14806.080584792,621555.856116,36741.864612,56392.308264,245300.041739,2016.875
2017,"DJF",11702.29464774,2040.1011056615,1078.5617124,0,151986.3980101,21285.416755,0,0,2017.125
2017,"JJA",611798.0105516,74020.2030715322,448934.32773667,3833.937176546,3691597.32539,1121239.27016405,467963.5986709,1287458.7668381,2017.375
2017,"MAM",566077.425727,76920.5680514469,299365.660504,2005.245921219,981884.071306,1145772.70649335,325175.5219054,25379.053612,2017.625
2017,"SON",35883.38195405,9207.618831303,83798.750469349,25339.37020053,607068.6887215,14797.2060401,8185.0306464,513985.028517,2017.875
2018,"DJF",23290.70286317,723.920440832,2982.11690385,6.5079792,253386.3464435,47989.8426561,0,0,2018.125
2018,"JJA",165307.1853358,54684.639800548,749638.8235719,33417.8753722855,3234459.081095,1292812.453642,679171.929,894589.229996285,2018.375
2018,"MAM",136117.3859468,41472.4542564571,393881.127554,2440.5930992955,2474351.674035,1214296.429625,356493.64774,5947.017415285,2018.625
2018,"SON",80561.490896295,6945.760667896,321331.51947789,36349.449925738,1831258.9655214,53139.94132375,312058.62583,1970588.1629495,2018.875
2019,"DJF",28326.716965595,2719.130886617,236.11423789,3.8668684,496265.4094885,18051.94316675,0,0,2019.125
2019,"JJA",426970.113099,124029.876669309,517428.78348399,63137.2566389934,2593726.3495245,859657.718327,1086972.2989568,863689.4149923,2019.375
2019,"MAM",374549.29120895,120361.593410231,328708.80906255,18858.8105467785,1113341.0069215,1202456.102685,392151.52536,105905.2653063,2019.625
2019,"SON",416019.77626965,5238.8119294605,149380.96920401,11641.98741351,90869.6068195,47887.60452905,208116.03905,470826.2595199,2019.875
2020,"DJF",24205.22328205,418.8082294115,2583.88443785,80.644268,58125.5081315,4941.57525205,0,0,2020.125
2020,"JJA",509618.8019027,105832.507623639,385980.1737731,15162.5485481909,1336144.38198,870871.39791335,644282.620955,469925.29528195,2020.375
2020,"MAM",78686.68304368,84645.4706284625,190423.5442731,6019.785981215,1105211.98579,1093047.25274605,435569.013485,7429.02132195,2020.625
2020,"SON",309680.1564816,34388.6467599995,90850.656232115,30429.71242343,340721.690943,74738.8546174,9393.5365201,211745.1539246,2020.875
2021,"DJF",27951.2198735,763.4698176839,247.415766115,9.104998,315763.4518972,13564.4603427,0,0,2021.125
2021,"JJA",501187.28233505,53970.8363174033,437757.80776,49589.8776369816,1821803.149092,481408.400944,335459.072382,650224.71157335,2021.375
2021,"MAM",201681.17561485,71606.2353908121,190320.6004565,538.810735483,759694.8976378,607170.208755,261213.407585,12805.29282235,2021.625
2021,"SON",513213.5187507,18394.6388838837,243324.78775565,50865.2406872489,784898.3085745,296364.64316,0,419248.93861895,2021.875
2022,"DJF",26390.86069203,3239.2310786157,357.74901565,4.05016514285,163317.6307565,43565.052599,0,989.86783705,2022.125
2022,"JJA",300990.3304031,42729.9780659027,187786.1726169,11726.056434447,1574723.103689,1398654.098227,109570.199591,622114.2566497,2022.375
2022,"MAM",245996.4541496,41579.4560112585,149948.3973986,1064.1739985,1470855.335812,1267020.19981,35062.027448,25310.3202247,2022.625
2022,"SON",58800.12493405,5359.987628518,88833.33739955,5723.90290346,665770.934404,35945.5381,66762.310087,558853.7475391,2022.875
2023,"DJF",14997.04976895,309.228892628,1385.4365201,0,113825.836072,27164.605696,0,0,2023.125
2023,"JJA",119894.169938915,36140.3071705795,691757.75695,31656.8049124846,1143756.677318,1207813.5647055,149784.0246395,434145.58686165,2023.375
2023,"MAM",92004.333567615,71735.9799823335,485565.062732,1931.82767145695,693061.307718,1299210.7836475,25405.1992495,3106.47001,2023.625
2023,"SON",52716.20753586,10292.3767673914,103931.73344,39139.38749611,1022942.8370115,105256.13387,0,435238.8291403,2023.875
2024,"DJF",3809.44552849,429.75637324165,0,0,174167.4790005,0,0,0,2024.125
2024,"JJA",341576.4171427,23059.4202029344,208149.932914,8709.8816778692,1667158.3797781,693821.9019917,83492.1079055,945755.95485305,2024.375
2024,"MAM",223481.347063,43347.6728302774,138555.6497143,2099.0446526645,928103.4242431,598624.3604155,22815.1702485,738.20523885,2024.625
2024,"SON",47842.25999315,18397.7153309115,159743.026651065,7943.312307741,695133.1995365,33036.4002175,0,400112.6817813,2024.875
2025,"DJF",15636.10806825,584.1040915435,109.458501065,0,31386.9811895,33036.4002175,0,0,2025.125
2025,"JJA",NA,NA,NA,NA,NA,NA,NA,NA,2025.375
2025,"MAM",NA,NA,NA,NA,NA,NA,NA,NA,2025.625
2025,"SON",NA,NA,NA,NA,NA,NA,NA,NA,2025.875
