area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.3447291310
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Landings,Reported,bottom trawl,Direct human consumption,5.6781584997,5087.953260197189
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Portugal",Industrial,Landings,Reported,bottom trawl,Other,0.0056838423,0.0319027731069227
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Discards,Unreported,bottom trawl,,14.7662353000
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,220.0270440087,201882.8051183261
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.1101236457,0.5108781395039405
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.1101236457,0.5108781395039405
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0000007803,0.0010215884350176642
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0000000004,1.1402483046834867e-11
"Atlantic, Northwest",high_seas,1951,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,bottom trawl,Other,0.0000000004,1.1402483046834867e-11
