area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Discards,Unreported,other nets,,0.0177309674
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Discards,Unreported,purse seine,,1.1306435000
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Discards,Unreported,shrimp trawl,,0.9298691320
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Unreported,small scale other nets,Other,0.0051942773,6.03489831691494e-05
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Direct human consumption,27.2543936801,54028.621033187046
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Unreported,small scale other nets,Direct human consumption,10.3781659694,20573.490012637358
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Other,0.0136408377,0.0001584841628416635
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Reported,small scale other nets,Other,0.0474375321,0.0005511463258815589
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Other,0.1245770380,0.0014473808749295447
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Reported,small scale other nets,Fishmeal and fish oil,0.0474375321,0.0005511463258815589
