area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Landings,Reported,longline,Direct human consumption,0.1065528088,1.397959415307896
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Trinidad & Tobago",Industrial,Landings,Reported,unknown by source,Direct human consumption,273.6495522680,2752.20333262299
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,243.0516795163,658851.6110938014
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Barbados",Industrial,Landings,Reported,unknown by source,Direct human consumption,11.4495869263,12979.194491694903
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,167.2443260714,302407.00929417904
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0837058689,2.1771382129525008
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,longline,Other,0.0837058689,2.1771382129525008
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Germany",Industrial,Landings,Reported,unknown by source,Direct human consumption,9.6796011718,33959.01254831764
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Reported,pole and line,Direct human consumption,81.7122387165,157058.52205140647
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,149.1109390185,286605.09211081464
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Panama",Industrial,Landings,Reported,pole and line,Direct human consumption,2.2135568493,4088.6807783176546
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Panama",Industrial,Landings,Reported,longline,Direct human consumption,13.5580357018,25043.169767195704
"Atlantic, Western Central",high_seas,1979,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,1.9962645743,5454.064312841082
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,0.2962421353,682.6449720353893
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,longline,Direct human consumption,0.1100657528,215.14574708638068
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,4.0929213323,10025.721312267515
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Aruba (Netherlands)",Industrial,Landings,Reported,unknown by source,Direct human consumption,0.3851272637,1359.541605013496
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Panama",Industrial,Landings,Reported,longline,Direct human consumption,0.3018467616,710.5373158483336
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,pole and line,Direct human consumption,0.0589692382,205.3219241771698
"Atlantic, Western Central",high_seas,1979,"Istiophorus albicans","Atlantic sailfish","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,23.3839554888,81419.37865088882
"Atlantic, Western Central",high_seas,1979,"Lamna nasus","Porbeagle","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,0.4470148716,6.234232085420651
"Atlantic, Western Central",high_seas,1979,"Acanthocybium solandri","Wahoo","Large pelagics (>=90 cm)","Perch-likes","Barbados",Industrial,Landings,Reported,unknown by source,Direct human consumption,80.6619178947,151958.34182646294
"Atlantic, Western Central",high_seas,1979,"Acanthocybium solandri","Wahoo","Large pelagics (>=90 cm)","Perch-likes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,4.4159314461,20050.382173413305
"Atlantic, Western Central",high_seas,1979,"Auxis thazard","Frigate tuna","Medium pelagics (30 - 89 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,mixed gear,Direct human consumption,81.8878103656,234235.00450665996
"Atlantic, Western Central",high_seas,1979,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Cuba",Industrial,Landings,Reported,pole and line,Direct human consumption,28.6339604624,57872.78470553781
